--> Angle-of-Arrival Data Log <--
Timestamp, Angle(deg)
13:51:14.364885,-19
13:51:14.613185,-18
13:51:14.800071,-16
13:51:14.959901,-15
13:51:15.032789,-14
13:51:15.255298,-13
13:51:15.523640,-11
13:51:15.739185,-9
13:51:15.921611,-8
13:51:16.122729,-6
13:51:16.312594,-4
13:51:16.517581,-3
13:51:16.734208,0
13:51:16.863359,1
13:51:17.074485,1
13:51:17.318039,0
13:51:17.415874,0
13:51:17.588563,1
13:51:17.805447,1
13:51:18.082699,1
13:51:18.214669,1
13:51:18.404838,2
13:51:18.609858,2
13:51:18.750167,2
13:51:18.924571,3
13:51:19.032329,3
13:51:19.157256,3
13:51:19.305489,3
13:51:19.548337,3
13:51:19.671644,3
13:51:19.921766,2
13:51:20.140419,1
13:51:20.220523,0
13:51:20.417382,-2
13:51:20.608878,-4
13:51:20.914415,-7
13:51:21.090227,-9
13:51:21.216693,-10
13:51:21.228986,-10
13:51:21.405812,-10
13:51:21.515286,-10
13:51:21.660427,-10
13:51:21.921246,-10
13:51:22.044595,-10
13:51:22.264756,-10
13:51:22.377553,-10
13:51:22.556330,-9
13:51:22.684245,-9
13:51:22.828243,-9
13:51:23.034424,-9
13:51:23.199517,-9
13:51:23.380408,-8
13:51:23.619516,-5
13:51:23.767400,-3
13:51:23.863409,-1
13:51:24.054022,1
13:51:24.300173,3
13:51:24.384217,4
13:51:24.608531,4
13:51:24.839425,4
13:51:24.976721,3
13:51:25.223387,3
13:51:25.372162,3
13:51:25.563558,3
13:51:25.787833,3
13:51:25.969001,2
13:51:26.062570,2
13:51:26.239843,2
13:51:26.468112,1
13:51:26.619080,1
13:51:26.801120,1
13:51:27.077787,1
13:51:27.336376,1
13:51:27.562948,0
13:51:27.850621,0
13:51:28.152655,0
13:51:28.387760,0
13:51:28.651066,0
13:51:28.844979,0
13:51:29.043422,-1
13:51:29.237567,0
13:51:29.482644,0
13:51:29.747241,0
13:51:30.013639,0
13:51:30.296326,-1
13:51:30.486481,0
13:51:30.587812,-1
13:51:30.739754,-1
13:51:30.846678,0
13:51:30.899808,0
13:51:31.012671,0
13:51:31.077983,0
13:51:31.206958,0
13:51:31.368628,0
13:51:31.604578,0
13:51:31.844238,0
13:51:31.989094,0
13:51:32.227319,0
13:51:32.343357,0
13:51:32.591653,1
13:51:32.758562,1
13:51:32.888588,1
13:51:33.062906,1
13:51:33.168174,1
13:51:33.323706,2
13:51:33.392830,2
13:51:33.532946,2
13:51:33.593548,2
13:51:33.684271,2
13:51:33.817028,2
13:51:33.963582,2
13:51:34.097896,1
13:51:34.274448,2
13:51:34.389530,2
13:51:34.542569,2
13:51:34.645403,2
13:51:34.784248,0
13:51:34.903619,0
13:51:35.050954,0
13:51:35.183661,-1
13:51:35.291391,-2
13:51:35.412743,-3
13:51:35.507417,-4
13:51:35.635721,-4
13:51:35.754937,-6
13:51:35.923200,-8
13:51:35.976722,-8
13:51:36.073996,-8
13:51:36.235555,-7
13:51:36.367901,-7
13:51:36.481924,-7
13:51:36.579125,-7
13:51:36.694939,-7
13:51:36.841858,-7
13:51:36.959931,-7
13:51:37.095653,-7
13:51:37.096794,-5
13:51:37.097651,-5
13:51:37.098435,-5
13:51:37.099160,-3
13:51:37.100125,-3
13:51:37.101107,-3
13:51:37.102118,-2
13:51:37.103508,-2
13:51:37.104653,0
13:51:37.105532,0
13:51:37.106534,0
13:51:37.107486,0
13:51:37.109225,0
